Age_lt_33,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose:investment,Purpose:leisure,Purpose:personal,GoodCustomer
0,1,2,1,0,1,1169,6,0,0,1,1
1,0,2,1,1,2,5951,48,0,0,1,0
0,1,1,1,1,0,2096,12,1,0,0,1
0,1,2,0,1,1,7882,42,0,0,1,1
0,1,2,0,1,1,4870,24,0,1,0,0
0,1,1,0,0,0,9055,36,1,0,0,1
0,1,2,1,4,0,2835,24,0,0,1,1
0,1,3,1,1,2,6948,36,0,1,0,1
0,1,1,1,3,0,3059,12,0,0,1,1
1,1,3,1,1,2,5234,30,0,1,0,0
1,0,2,1,1,2,1295,12,0,1,0,0
1,0,2,1,1,1,4308,48,1,0,0,0
1,0,2,1,1,2,1567,12,0,0,1,1
0,1,1,1,1,1,1199,24,0,1,0,0
1,0,2,1,1,1,1403,15,0,1,0,1
1,0,1,1,2,1,1282,24,0,0,1,0
0,1,2,1,0,0,2424,24,0,0,1,1
1,1,2,1,0,1,8072,30,1,0,0,1
0,0,3,0,1,2,12579,24,0,1,0,0
1,1,2,1,4,0,3430,24,0,0,1,1
0,1,2,1,1,0,2134,9,0,1,0,1
0,1,2,1,4,1,2647,6,0,0,1,1
0,1,1,1,1,1,2241,10,0,1,0,1
0,1,2,1,2,2,1804,12,0,1,0,1
1,1,2,1,0,0,2069,10,0,0,1,1
0,1,1,1,1,1,1374,6,0,0,1,1
0,1,1,1,1,0,426,6,0,0,1,1
0,0,2,1,3,3,409,12,0,0,1,1
0,1,2,1,1,2,2415,7,0,0,1,1
0,1,2,1,1,1,6836,60,1,0,0,0
0,1,2,1,3,2,1913,18,1,0,0,1
1,1,2,1,1,1,4020,24,0,0,1,1
1,1,2,1,2,2,5866,18,0,1,0,1
0,1,1,1,0,0,1264,12,1,0,0,1
1,0,3,1,1,3,1474,12,0,0,1,1
1,1,1,1,1,2,4746,45,0,0,1,0
1,1,2,0,1,0,6110,48,1,0,0,1
0,1,2,1,1,3,2100,18,0,0,1,0
0,1,2,1,1,3,1225,10,0,0,1,1
1,1,2,1,1,2,458,9,0,0,1,1
1,1,3,1,4,0,2333,30,0,0,1,1
1,1,2,1,4,2,1158,12,0,0,1,1
0,1,1,1,1,2,6204,18,0,0,1,1
1,1,2,1,2,1,6187,30,0,1,0,1
0,0,1,0,1,1,6143,48,0,1,0,0
0,0,3,1,1,0,1393,11,0,1,0,1
0,1,2,1,4,0,2299,36,0,0,1,1
1,0,0,1,4,1,1352,6,0,1,0,1
0,1,1,1,1,0,7228,11,0,1,0,1
1,0,2,1,2,0,2073,12,0,0,1,1
1,1,1,1,0,2,2333,24,0,0,1,1
1,1,3,1,1,2,5965,27,0,1,0,1
1,1,2,1,1,0,1262,12,0,0,1,1
1,1,2,1,0,0,3378,18,0,1,0,1
0,1,2,0,1,2,2225,36,0,1,0,0
1,1,1,1,0,0,783,6,0,1,0,1
0,1,3,1,0,2,6468,12,0,0,1,0
1,0,2,1,1,0,9566,36,0,0,1,1
1,0,3,1,1,3,1961,18,0,1,0,1
1,0,1,1,1,1,6229,36,0,0,1,0
1,1,2,1,1,2,1391,9,1,0,0,1
0,1,2,1,0,2,1537,15,0,0,1,1
0,1,3,0,1,2,1953,36,1,0,0,0
1,1,2,1,1,2,14421,48,1,0,0,0
1,0,2,1,1,0,3181,24,0,0,1,1
0,1,2,1,0,0,5190,27,0,0,1,1
1,0,2,1,1,0,2171,12,0,0,1,1
1,1,2,1,3,2,1007,12,0,1,0,1
0,1,2,0,1,0,1819,36,1,0,0,0
1,0,2,1,0,0,2394,36,0,0,1,1
1,0,2,1,1,0,8133,36,0,1,0,1
0,1,1,1,0,0,730,7,0,0,1,1
0,1,3,0,1,1,1164,8,0,1,0,1
0,0,1,1,1,2,5954,42,1,0,0,1
0,1,3,1,0,1,1977,36,1,0,0,0
0,1,3,0,1,1,1526,12,0,1,0,1
0,1,2,1,1,1,3965,42,0,0,1,0
0,1,2,1,1,2,4771,11,0,0,1,1
0,1,1,1,0,0,9436,54,0,1,0,1
1,1,2,1,1,2,3832,30,0,0,1,1
0,0,2,1,0,0,5943,24,0,0,1,0
0,1,2,1,4,0,1213,15,0,0,1,1
1,0,1,1,2,0,1568,18,1,0,0,1
0,0,1,1,1,1,1755,24,0,1,0,1
0,1,1,1,1,1,2315,10,0,0,1,1
1,0,3,1,1,0,1412,12,1,0,0,1
1,0,2,1,1,2,1295,18,0,0,1,1
0,1,2,0,2,2,12612,36,1,0,0,0
1,1,3,1,2,1,2249,18,0,1,0,1
1,1,2,1,1,1,1108,12,0,0,1,0
0,1,2,1,1,0,618,12,0,0,1,1
0,1,2,1,1,1,1409,12,0,1,0,1
1,0,1,1,0,0,797,12,0,0,1,0
1,1,2,1,0,3,3617,24,0,0,1,1
0,1,2,1,3,2,1318,12,0,1,0,1
0,1,2,1,1,2,15945,54,1,0,0,0
0,0,2,1,0,0,2012,12,1,0,0,1
0,1,2,1,2,2,2622,18,1,0,0,1
0,1,2,1,1,2,2337,36,0,0,1,1
0,1,3,1,0,2,7057,20,0,1,0,1
0,1,1,1,2,0,1469,24,0,1,0,1
1,1,2,1,1,2,2323,36,0,0,1,1
1,0,2,1,1,0,932,6,0,0,1,1
0,1,2,1,1,2,1919,9,0,0,1,1
1,1,2,1,0,0,2445,12,0,1,0,1
0,1,3,1,1,2,11938,24,0,1,0,0
0,1,3,1,1,0,6458,18,0,1,0,0
1,1,2,1,1,2,6078,12,0,1,0,1
1,0,2,1,0,1,7721,24,0,0,1,1
0,1,2,1,4,2,1410,14,1,0,0,1
1,1,2,1,2,2,1449,6,1,0,0,1
1,0,2,1,1,3,392,15,1,0,0,1
1,1,1,1,1,2,6260,18,0,1,0,1
1,0,2,1,1,0,7855,36,0,1,0,0
0,1,2,1,4,1,1680,12,0,0,1,1
0,1,2,1,0,0,3578,48,0,0,1,1
1,0,3,1,0,1,7174,42,0,0,1,0
1,0,2,1,0,1,2132,10,0,0,1,1
1,0,2,1,4,1,4281,33,0,0,1,0
0,1,3,1,4,2,2366,12,0,1,0,1
1,0,2,1,1,1,1835,21,0,0,1,0
0,0,3,1,1,0,3868,24,0,1,0,1
1,1,1,1,1,0,1768,12,0,0,1,1
0,1,2,0,1,3,781,10,0,1,0,1
1,0,2,1,0,2,1924,18,0,0,1,0
1,1,2,1,1,1,2121,12,0,1,0,1
0,1,1,1,1,1,701,12,0,0,1,1
1,1,2,1,1,2,639,12,0,0,1,0
0,1,3,1,1,2,1860,12,0,1,0,1
1,0,2,1,1,1,3499,12,0,1,0,0
1,0,2,1,0,2,8487,48,0,1,0,1
1,1,2,1,1,1,6887,36,1,0,0,0
1,1,1,1,1,0,2708,15,0,0,1,1
0,1,2,0,1,0,1984,18,0,0,1,1
1,0,2,1,2,0,10144,60,0,0,1,1
0,0,2,1,0,0,1240,12,0,0,1,1
1,1,2,1,3,0,8613,27,0,1,0,1
0,1,1,1,4,2,766,12,0,0,1,0
0,1,2,1,0,2,2728,15,0,0,1,1
0,0,1,1,1,3,1881,12,0,0,1,1
1,1,0,1,3,3,709,6,0,1,0,1
1,0,3,1,1,2,4795,36,0,0,1,1
1,1,3,1,1,1,3416,27,0,0,1,1
1,1,2,1,1,1,2462,18,0,0,1,0
1,0,2,1,1,0,2288,21,0,0,1,1
1,1,2,1,2,2,3566,48,1,0,0,1
0,0,2,1,1,1,860,6,0,1,0,1
0,0,2,1,2,0,682,12,0,1,0,1
1,1,2,1,1,1,5371,36,0,0,1,1
0,1,2,1,3,0,1582,18,0,0,1,1
0,1,2,0,2,0,1346,6,0,0,1,1
0,1,2,1,1,0,1924,10,0,0,1,1
1,1,2,1,1,3,5848,36,0,0,1,1
1,0,2,1,3,2,7758,24,0,1,0,1
0,1,3,1,2,2,6967,24,1,0,0,1
1,0,2,1,1,1,1282,12,0,0,1,0
0,1,2,1,2,1,1288,9,0,0,1,1
0,1,1,1,1,1,339,12,1,0,0,1
0,1,2,1,2,2,3512,24,0,1,0,1
0,1,1,1,0,0,1898,6,0,0,1,1
0,1,2,1,2,0,2872,24,0,0,1,1
1,0,2,1,1,0,1055,18,0,1,0,1
0,1,2,1,4,0,1262,15,0,0,1,1
0,1,3,0,1,2,7308,10,0,1,0,1
0,1,2,1,4,0,909,36,0,1,0,1
1,1,2,1,4,0,2978,6,0,0,1,1
1,0,2,1,1,1,1131,18,0,0,1,0
1,0,2,1,3,2,1577,11,0,0,1,1
1,0,2,1,1,0,3972,24,0,0,1,1
1,1,2,1,1,2,1935,24,1,0,0,0
1,1,2,1,1,1,950,15,0,1,0,0
1,0,2,1,1,0,763,12,0,0,1,1
0,0,3,1,1,2,2064,24,0,0,1,0
1,1,2,1,1,2,1414,8,0,0,1,1
1,1,2,1,1,1,3414,21,1,0,0,0
0,0,3,1,0,0,7485,30,0,1,0,0
0,1,2,1,1,1,2577,12,0,0,1,1
0,1,2,1,4,1,338,6,0,0,1,1
1,1,3,1,1,0,1963,12,0,0,1,1
0,1,2,1,1,1,571,21,0,1,0,1
1,1,2,1,1,0,9572,36,1,0,0,0
1,1,3,1,1,2,4455,36,1,0,0,0
0,1,1,1,0,1,1647,21,0,1,0,0
0,1,2,1,3,0,3777,24,0,0,1,1
0,1,2,1,1,2,884,18,0,1,0,0
1,1,2,1,1,0,1360,15,0,0,1,1
0,0,3,0,1,2,5129,9,0,1,0,0
0,1,0,0,1,2,1175,16,0,1,0,1
1,1,2,1,2,1,674,12,0,0,1,0
1,0,2,1,1,2,3244,18,0,0,1,1
0,1,3,1,3,0,4591,24,1,0,0,0
0,1,1,0,2,2,3844,48,1,0,0,0
0,1,2,1,1,2,3915,27,1,0,0,0
1,1,2,1,1,0,2108,6,0,0,1,1
1,1,2,1,2,2,3031,45,0,0,1,0
0,0,3,1,1,2,1501,9,1,0,0,0
1,0,2,1,1,0,1382,6,0,0,1,1
1,0,2,1,2,2,951,12,0,0,1,0
0,1,2,0,0,2,2760,24,0,1,0,1
0,1,3,1,1,2,4297,18,0,0,1,0
0,1,2,1,4,0,936,9,1,0,0,1
1,1,1,1,1,1,1168,12,0,1,0,1
1,1,2,1,1,0,5117,27,1,0,0,1
1,1,2,1,1,1,902,12,1,0,0,0
0,1,1,1,1,0,1495,12,0,1,0,1
0,1,3,0,1,1,10623,30,0,1,0,1
0,1,2,1,1,0,1935,12,0,0,1,1
1,1,2,1,1,2,1424,12,0,0,1,1
1,1,1,1,1,1,6568,24,1,0,0,1
0,1,2,1,3,0,1413,12,0,1,0,1
1,1,2,1,0,0,3074,9,0,0,1,1
0,0,1,1,0,0,3835,36,0,0,1,1
0,1,2,1,1,1,5293,27,1,0,0,0
0,1,3,1,1,3,1908,30,1,0,0,0
0,1,2,1,0,0,3342,36,0,0,1,1
0,0,1,1,0,2,932,6,1,0,0,1
1,1,2,1,1,1,3104,18,1,0,0,1
1,1,2,1,1,3,3913,36,0,0,1,1
1,1,1,1,1,1,3021,24,0,0,1,1
0,0,2,1,1,0,1364,10,0,1,0,1
1,1,1,1,1,2,625,12,0,0,1,1
1,0,2,1,0,1,1200,12,1,0,0,1
1,1,2,1,1,0,707,12,0,0,1,1
1,1,2,1,0,0,2978,24,1,0,0,1
1,1,2,1,1,0,4657,15,0,1,0,1
1,1,2,1,1,0,2613,36,0,0,1,1
1,1,2,1,3,2,10961,48,0,0,1,0
0,1,3,0,1,1,7865,12,0,0,1,0
1,1,2,1,1,0,1478,9,0,0,1,0
1,1,2,0,1,1,3149,24,0,0,1,1
1,1,2,1,1,3,4210,36,0,0,1,0
0,1,1,0,4,0,2507,9,0,1,0,1
0,1,2,1,2,0,2141,12,0,0,1,1
1,1,1,1,1,2,866,18,0,0,1,1
0,1,1,1,1,0,1544,4,0,0,1,1
1,1,3,1,1,1,1823,24,0,0,1,0
1,1,0,1,0,2,14555,6,0,1,0,0
0,1,1,1,2,2,2767,21,1,0,0,0
0,0,2,1,1,0,1291,12,0,0,1,1
0,1,2,1,1,1,2522,30,0,0,1,1
1,0,2,1,0,1,915,24,0,1,0,0
0,1,2,1,1,0,1595,6,0,0,1,1
1,1,2,0,1,1,4605,48,0,1,0,0
1,0,2,1,1,0,1185,12,1,0,0,1
0,0,1,1,4,0,3447,12,1,0,0,1
1,1,2,1,1,0,1258,24,1,0,0,1
0,1,2,1,1,0,717,12,0,0,1,1
0,1,2,1,2,0,1204,6,0,1,0,1
1,1,2,1,1,3,1925,24,0,0,1,1
1,0,2,1,1,0,433,18,0,0,1,0
0,0,1,1,3,1,666,6,0,1,0,1
0,0,1,1,1,3,2251,12,0,0,1,1
1,0,2,1,1,2,2150,30,0,1,0,0
0,1,2,1,2,0,4151,24,0,0,1,1
1,1,2,1,0,2,2030,9,0,0,1,1
1,1,1,1,0,2,7418,60,0,0,1,1
0,1,1,1,1,0,2684,24,0,0,1,1
1,1,2,0,1,1,2149,12,0,0,1,0
1,0,2,1,2,0,3812,15,0,1,0,1
0,0,1,1,2,0,1154,11,0,0,1,1
1,1,2,1,1,1,1657,12,0,0,1,1
0,0,2,1,1,1,1603,24,0,0,1,1
0,1,3,0,1,1,5302,18,0,1,0,1
0,0,1,0,1,0,2748,12,1,0,0,1
1,1,1,1,1,0,1231,10,0,1,0,1
0,1,2,1,1,2,802,15,0,0,1,0
0,1,2,1,0,0,6304,36,1,0,0,1
0,0,2,1,1,0,1533,24,0,0,1,1
0,1,3,1,1,1,8978,14,0,1,0,0
1,1,2,1,0,0,999,24,0,0,1,1
1,1,2,1,0,0,2662,18,0,1,0,1
0,0,2,1,4,0,1402,12,0,0,1,1
0,1,3,0,0,2,12169,48,0,1,0,1
1,1,2,1,1,2,3060,48,0,0,1,0
0,1,1,1,1,1,11998,30,0,0,1,0
1,1,2,1,1,0,2697,9,0,0,1,1
1,0,2,1,1,0,2404,18,0,0,1,1
0,1,1,1,0,1,1262,12,0,0,1,1
1,0,2,1,1,0,4611,6,0,0,1,0
1,1,3,1,2,0,1901,24,0,0,1,1
1,1,2,1,3,0,3368,15,0,1,0,1
0,1,2,1,1,0,1574,12,0,0,1,1
0,1,1,1,0,3,1445,18,0,0,1,1
0,1,2,1,0,0,1520,15,0,0,1,1
0,1,2,1,2,2,3878,24,0,1,0,1
0,0,1,1,1,1,10722,47,0,1,0,1
1,1,2,1,1,1,4788,48,0,1,0,1
1,1,3,0,2,2,7582,48,0,1,0,1
0,0,2,1,1,2,1092,12,0,0,1,1
0,1,2,1,1,1,1024,24,0,0,1,0
1,1,2,1,1,0,1076,12,1,0,0,1
1,1,3,1,1,2,9398,36,0,1,0,0
0,0,3,0,1,1,6419,24,0,1,0,1
0,1,2,0,1,3,4796,42,0,1,0,1
0,1,3,1,0,0,7629,48,1,0,0,1
1,0,2,1,1,2,9960,48,0,0,1,0
1,0,2,1,0,0,4675,12,0,1,0,1
0,1,1,1,0,0,1287,10,0,1,0,1
0,1,2,1,1,0,2515,18,0,0,1,1
1,1,2,1,3,2,2745,21,0,0,1,1
0,0,0,1,1,0,672,6,0,1,0,1
0,0,2,1,1,2,3804,36,0,0,1,0
0,1,1,1,0,3,1344,24,0,1,0,0
0,1,2,1,1,1,1038,10,0,1,0,1
0,1,2,0,4,0,10127,48,0,1,0,0
1,1,2,1,3,0,1543,6,0,0,1,1
1,0,1,1,0,0,4811,30,0,1,0,1
1,1,1,1,2,1,727,12,0,0,1,0
1,0,2,1,1,2,1237,8,0,0,1,0
1,1,1,1,1,2,276,9,0,1,0,1
0,1,0,0,0,2,5381,48,0,1,0,1
1,1,2,1,2,0,5511,24,0,0,1,1
1,0,2,1,1,3,3749,24,0,0,1,1
1,1,1,1,1,2,685,12,0,1,0,0
1,1,1,1,0,3,1494,4,0,1,0,1
1,1,2,1,1,1,2746,36,0,0,1,0
0,1,1,1,1,1,708,12,0,0,1,1
0,0,1,1,0,2,4351,24,0,0,1,1
1,1,2,1,1,0,701,12,1,0,0,1
1,0,1,1,1,1,3643,15,0,0,1,1
1,1,3,1,1,2,4249,30,0,1,0,0
1,1,2,1,1,1,1938,24,0,0,1,0
0,1,3,0,1,1,2910,24,0,1,0,1
1,1,2,1,3,1,2659,18,0,0,1,1
0,0,2,1,1,0,1028,18,0,1,0,1
0,1,1,1,1,1,3398,8,0,1,0,1
0,1,2,1,0,0,5801,12,0,0,1,1
0,0,2,1,3,0,1525,24,0,1,0,1
1,1,2,1,1,3,4473,36,0,0,1,1
1,1,2,1,1,2,1068,6,0,0,1,1
0,1,3,0,1,1,6615,24,0,1,0,1
1,0,2,1,2,0,1864,18,1,0,0,0
1,0,3,1,2,2,7408,60,0,1,0,0
1,0,1,1,2,0,11590,48,0,1,0,0
1,1,2,1,1,1,4110,24,0,0,1,0
0,1,3,1,1,1,3384,6,0,0,1,0
1,0,1,1,1,2,2101,13,0,0,1,1
1,0,2,1,0,1,1275,15,0,0,1,0
1,1,2,1,1,1,4169,24,0,0,1,1
1,1,1,1,1,2,1521,10,0,0,1,1
1,0,2,0,1,2,5743,24,1,0,0,1
1,0,1,1,1,1,3599,21,0,0,1,1
1,1,2,1,4,2,3213,18,0,0,1,1
1,1,3,1,1,2,4439,18,1,0,0,1
0,1,1,1,1,3,3949,10,0,1,0,1
0,0,1,1,1,0,1459,15,0,0,1,1
1,1,2,1,1,2,882,13,0,0,1,1
1,0,0,1,4,2,3758,24,0,0,1,1
0,1,1,1,2,0,1743,6,1,0,0,1
1,1,2,0,3,2,1136,9,1,0,0,0
1,0,2,1,1,0,1236,9,0,0,1,1
1,0,2,1,1,2,959,9,0,0,1,0
0,1,3,1,0,0,3229,18,0,1,0,1
1,1,2,1,1,1,6199,12,0,0,1,0
0,1,2,0,4,0,727,10,1,0,0,1
1,1,1,1,1,2,1246,24,0,1,0,0
0,1,2,1,0,0,2331,12,0,0,1,1
1,1,3,1,1,0,4463,36,0,0,1,0
1,1,2,1,1,0,776,12,0,0,1,1
1,0,2,1,1,1,2406,30,0,0,1,0
0,1,2,0,0,2,1239,18,1,0,0,1
0,1,3,1,0,3,3399,12,0,0,1,1
0,0,2,1,1,3,2247,12,0,1,0,1
1,1,2,1,1,0,1766,6,0,0,1,1
1,1,0,1,1,1,2473,18,0,0,1,0
0,1,2,1,1,0,1542,12,1,0,0,1
1,1,2,1,1,0,3850,18,0,1,0,1
1,0,2,1,1,1,3650,18,0,0,1,1
0,1,2,1,1,1,3446,36,0,0,1,0
0,0,2,1,1,2,3001,18,0,0,1,1
0,1,2,1,0,0,3079,36,0,1,0,1
1,1,2,1,1,0,6070,18,0,0,1,1
1,0,2,1,1,0,2146,10,0,0,1,1
0,1,3,0,0,0,13756,60,0,1,0,1
0,0,3,0,2,2,14782,60,0,1,0,0
0,0,2,1,1,1,7685,48,1,0,0,0
0,1,2,1,1,0,2320,18,0,0,1,1
0,1,2,0,0,0,846,7,0,0,1,1
0,1,3,0,1,2,14318,36,0,1,0,0
0,0,1,1,2,0,362,6,0,1,0,1
0,1,2,1,0,1,2212,20,0,0,1,1
0,0,3,0,1,2,12976,18,0,1,0,0
1,0,2,1,0,0,1283,22,0,1,0,1
1,1,2,1,1,3,1330,12,0,1,0,1
1,1,1,1,2,0,4272,30,1,0,0,1
1,0,2,1,1,0,2238,18,0,0,1,1
1,0,2,1,0,0,1126,18,0,0,1,1
0,1,3,1,1,2,7374,18,0,0,1,1
1,1,2,1,4,2,2326,15,1,0,0,1
1,0,2,1,1,0,1449,9,1,0,0,1
1,1,3,1,1,0,1820,18,0,1,0,1
1,0,1,1,3,2,983,12,0,0,1,1
0,1,3,0,1,1,3249,36,0,1,0,1
1,0,2,1,1,1,1957,6,0,0,1,1
1,1,3,1,1,0,2406,9,0,0,1,1
1,1,2,1,2,2,11760,39,1,0,0,1
0,0,3,0,1,1,2578,12,0,0,1,1
0,1,2,1,1,1,2348,36,0,0,1,1
0,1,2,1,1,2,1223,12,0,1,0,0
0,0,1,1,3,0,1516,24,0,0,1,1
0,1,2,1,1,0,1473,18,0,0,1,1
1,1,2,1,0,2,1887,18,1,0,0,1
1,1,2,1,1,0,8648,24,1,0,0,0
1,1,1,1,1,0,802,14,0,1,0,1
0,1,2,1,0,2,2899,18,0,1,0,1
1,1,2,1,1,2,2039,24,0,0,1,0
0,1,2,1,0,0,2197,24,0,1,0,1
1,1,2,1,1,1,1053,15,0,0,1,1
1,1,3,1,4,0,3235,24,0,0,1,1
1,1,2,1,4,3,939,12,0,1,0,0
1,0,2,1,1,2,1967,24,0,0,1,1
0,1,3,1,1,0,7253,33,0,1,0,1
0,1,3,1,1,0,2292,12,1,0,0,0
0,1,1,1,4,0,1597,10,0,1,0,1
0,0,2,1,0,1,1381,24,0,1,0,0
0,1,2,1,1,0,5842,36,0,1,0,1
1,1,1,1,1,1,2579,12,0,1,0,0
1,0,2,1,0,1,8471,18,1,0,0,1
1,0,3,1,4,0,2782,21,0,1,0,1
1,0,2,1,0,2,1042,18,0,1,0,0
1,0,2,1,3,0,3186,15,0,1,0,1
1,1,2,1,0,2,2028,12,0,1,0,1
0,1,1,1,1,2,958,12,0,1,0,1
0,1,3,1,2,0,1591,21,0,0,1,1
1,0,2,1,0,2,2762,12,0,0,1,0
1,1,2,1,1,2,2779,18,0,1,0,1
1,1,2,1,1,0,2743,28,0,0,1,1
0,1,2,1,3,0,1149,18,0,0,1,1
1,1,2,1,1,0,1313,9,0,0,1,1
0,0,0,0,1,1,1190,18,0,0,1,0
0,1,1,1,1,0,3448,5,1,0,0,1
1,1,3,1,1,2,11328,24,0,1,0,0
0,1,3,0,1,1,1872,6,0,0,1,1
1,1,2,1,1,0,2058,24,0,0,1,1
1,1,2,1,1,1,2136,9,0,0,1,1
1,1,2,1,0,2,1484,12,0,0,1,0
1,1,1,1,4,0,660,6,0,0,1,1
0,0,2,1,3,0,1287,24,0,1,0,1
0,1,0,1,1,1,3394,42,0,0,1,1
1,0,0,1,1,3,609,12,1,0,0,0
0,1,3,1,1,0,1884,12,0,1,0,1
1,0,2,1,1,1,1620,12,0,0,1,1
1,1,2,1,1,2,2629,20,0,1,0,1
0,1,1,1,1,0,719,12,1,0,0,0
1,0,3,1,1,2,5096,48,0,0,1,0
0,0,1,1,0,0,1244,9,1,0,0,1
0,0,2,1,1,1,1842,36,0,1,0,0
0,1,2,1,1,2,2576,7,0,0,1,1
0,0,3,1,0,3,1424,12,0,0,1,1
0,1,2,1,3,2,1512,15,0,0,1,0
1,1,3,1,0,0,11054,36,0,1,0,1
1,0,2,1,1,0,518,6,0,0,1,1
0,1,2,1,1,0,2759,12,0,0,1,1
0,1,3,1,1,0,2670,24,0,1,0,1
1,1,2,1,1,1,4817,24,0,1,0,0
1,0,3,1,1,0,2679,24,0,1,0,1
0,1,2,1,1,1,3905,11,0,1,0,1
0,1,2,0,1,1,3386,12,0,1,0,0
1,0,2,1,1,1,343,6,0,0,1,1
1,1,2,1,1,0,4594,18,0,0,1,1
0,1,2,1,1,1,3620,36,0,0,1,1
0,1,2,1,1,1,1721,15,0,1,0,1
0,0,3,1,1,2,3017,12,0,0,1,1
0,1,2,1,0,2,754,12,1,0,0,1
0,1,2,1,1,0,1950,18,1,0,0,1
0,1,2,1,1,1,2924,24,0,1,0,1
1,0,1,1,1,1,1659,24,0,0,1,0
1,1,2,1,0,0,7238,48,0,0,1,1
1,0,2,1,1,0,2764,33,1,0,0,1
0,1,1,1,1,0,4679,24,0,1,0,1
1,1,2,1,2,2,3092,24,0,0,1,0
1,0,2,1,1,1,448,6,1,0,0,0
1,1,1,1,1,1,654,9,0,1,0,0
0,1,3,1,0,0,1238,6,1,0,0,1
1,1,2,1,1,2,1245,18,0,0,1,0
1,0,2,1,1,1,3114,18,0,0,1,0
1,1,2,1,4,0,2569,39,0,1,0,1
1,1,2,1,1,3,5152,24,0,0,1,1
0,1,1,1,2,2,1037,12,1,0,0,1
0,1,2,1,1,1,1478,15,0,0,1,1
1,0,1,1,1,2,3573,12,0,0,1,1
1,1,2,1,1,2,1201,24,0,1,0,1
0,0,2,1,3,1,3622,30,0,0,1,1
1,0,2,1,3,0,960,15,0,0,1,1
0,1,2,1,4,0,1163,12,0,1,0,1
0,1,3,1,1,2,1209,6,0,1,0,0
0,1,2,1,1,0,3077,12,0,0,1,1
0,0,2,0,1,0,3757,24,0,1,0,1
0,1,1,1,2,0,1418,10,0,1,0,1
1,1,2,1,1,0,3518,6,0,1,0,1
1,1,2,1,1,0,1934,12,0,0,1,1
0,0,3,0,1,2,8318,27,1,0,0,0
1,0,2,1,2,0,1237,6,0,0,1,1
0,1,2,1,0,2,368,6,0,0,1,1
0,1,1,1,1,1,2122,12,0,1,0,1
1,1,2,1,0,1,2996,24,0,0,1,0
1,1,3,1,2,2,9034,36,0,0,1,0
